epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1046,0.82293,0.62175,1.06635,0.9278,0.77162,0.84975,0.63041,0.75984,0.45907,0.91025,0.000236183,0.000236183,0.000236183
2,95.6283,0.84392,0.64328,1.08263,0.91863,0.7663,0.83757,0.60157,0.84474,0.49923,0.95713,0.000458535,0.000458535,0.000458535
3,140.881,0.87349,0.67497,1.09818,0.91235,0.74406,0.82583,0.58763,0.87066,0.54785,0.98103,0.000665179,0.000665179,0.000665179
4,186.068,0.89453,0.70552,1.10912,0.90813,0.75265,0.82636,0.59041,0.86736,0.5493,0.98072,0.000643314,0.000643314,0.000643314
5,231.435,0.87987,0.69803,1.10566,0.90453,0.74439,0.82484,0.58338,0.88131,0.54935,0.9916,0.000619752,0.000619752,0.000619752
6,275.984,0.87905,0.6923,1.10352,0.90806,0.75197,0.82822,0.59297,0.87059,0.53724,0.9808,0.00059619,0.00059619,0.00059619
7,321.566,0.87803,0.69913,1.10713,0.89848,0.74435,0.82203,0.58746,0.8682,0.55593,0.98916,0.000572628,0.000572628,0.000572628
8,366.485,0.87808,0.69624,1.10377,0.89658,0.75069,0.82422,0.59063,0.85723,0.53436,0.97738,0.000549066,0.000549066,0.000549066
9,413.645,0.85693,0.6763,1.09555,0.90256,0.75333,0.82744,0.59053,0.86573,0.54019,0.98107,0.000525504,0.000525504,0.000525504
10,460.262,0.8626,0.68377,1.09813,0.90214,0.75413,0.82927,0.59374,0.85227,0.53047,0.97536,0.000501942,0.000501942,0.000501942
11,505.806,0.85346,0.67345,1.09061,0.91121,0.74267,0.8232,0.58623,0.88004,0.54929,0.99036,0.00047838,0.00047838,0.00047838
12,550.74,0.8552,0.67798,1.09299,0.90663,0.74802,0.825,0.58719,0.86279,0.53522,0.98091,0.000454818,0.000454818,0.000454818
13,596.527,0.85215,0.68146,1.09141,0.90551,0.74948,0.82437,0.59102,0.8552,0.53757,0.97781,0.000431256,0.000431256,0.000431256
14,640.392,0.83885,0.6659,1.0838,0.91749,0.75453,0.83153,0.5979,0.84751,0.52661,0.9758,0.000407694,0.000407694,0.000407694
15,686.587,0.82756,0.65835,1.08238,0.90682,0.75106,0.82715,0.60159,0.83943,0.52797,0.96992,0.000384132,0.000384132,0.000384132
16,732.854,0.82603,0.65527,1.07741,0.91635,0.75438,0.8301,0.59876,0.85517,0.52458,0.97691,0.00036057,0.00036057,0.00036057
17,777.809,0.81605,0.64789,1.07754,0.92463,0.74913,0.83322,0.60056,0.84273,0.51394,0.96671,0.000337008,0.000337008,0.000337008
18,822.23,0.82341,0.64835,1.07575,0.90965,0.75221,0.83005,0.5955,0.84815,0.5187,0.97162,0.000313446,0.000313446,0.000313446
19,868.415,0.81667,0.64047,1.07209,0.91188,0.75891,0.83147,0.60423,0.84234,0.50477,0.96754,0.000289884,0.000289884,0.000289884
20,912.961,0.80536,0.63114,1.0686,0.90521,0.75854,0.83223,0.60417,0.83244,0.50513,0.96376,0.000266322,0.000266322,0.000266322
21,957.155,0.81273,0.56316,1.06869,0.91256,0.75795,0.83147,0.60498,0.823,0.50354,0.95401,0.00024276,0.00024276,0.00024276
22,999.594,0.79378,0.5432,1.06593,0.91154,0.76379,0.83629,0.61275,0.80969,0.49364,0.94854,0.000219198,0.000219198,0.000219198
23,1040.59,0.77433,0.52481,1.0479,0.91496,0.7611,0.83452,0.61394,0.80177,0.48928,0.94475,0.000195636,0.000195636,0.000195636
24,1081.17,0.77124,0.51904,1.0466,0.92003,0.76282,0.83762,0.61611,0.79621,0.48726,0.94275,0.000172074,0.000172074,0.000172074
25,1121.67,0.75856,0.50991,1.04193,0.9163,0.76654,0.83797,0.61447,0.81526,0.48716,0.94844,0.000148512,0.000148512,0.000148512
26,1163.34,0.75082,0.50528,1.03701,0.91729,0.77071,0.84052,0.62193,0.78721,0.47687,0.93771,0.00012495,0.00012495,0.00012495
27,1205.1,0.74979,0.50363,1.03475,0.92434,0.76487,0.84035,0.62268,0.78261,0.47286,0.93566,0.000101388,0.000101388,0.000101388
28,1246.86,0.73717,0.49163,1.0259,0.92155,0.76694,0.83937,0.62197,0.78475,0.47017,0.93623,7.7826e-05,7.7826e-05,7.7826e-05
29,1288.46,0.72565,0.48903,1.02436,0.92155,0.76883,0.84127,0.62508,0.77905,0.46872,0.93358,5.4264e-05,5.4264e-05,5.4264e-05
30,1330.15,0.72633,0.48701,1.02496,0.92213,0.7715,0.84202,0.62612,0.77971,0.46811,0.93389,3.0702e-05,3.0702e-05,3.0702e-05
