epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0347,0.81814,0.61012,1.05967,0.92951,0.7901,0.86306,0.64134,0.7654,0.44336,0.91555,0.000236183,0.000236183,0.000236183
2,92.1941,0.84363,0.64406,1.07664,0.92063,0.78218,0.8535,0.61951,0.81047,0.47919,0.94936,0.000458535,0.000458535,0.000458535
3,136.782,0.86975,0.676,1.09473,0.90295,0.75663,0.84005,0.6007,0.86081,0.53317,0.98283,0.000665179,0.000665179,0.000665179
4,182.564,0.8873,0.70133,1.10372,0.92814,0.75014,0.84033,0.60329,0.84668,0.52581,0.97022,0.000643314,0.000643314,0.000643314
5,227.09,0.88213,0.70167,1.10662,0.90398,0.75714,0.83502,0.56584,0.95303,0.56204,1.0409,0.000619752,0.000619752,0.000619752
6,271.822,0.88575,0.70621,1.1064,0.89974,0.76112,0.83659,0.59291,0.87671,0.55527,0.99276,0.00059619,0.00059619,0.00059619
7,316.197,0.89661,0.71689,1.11189,0.91684,0.75379,0.83586,0.58902,0.88439,0.5445,0.99831,0.000572628,0.000572628,0.000572628
8,360.893,0.87398,0.69537,1.10338,0.89965,0.75706,0.83718,0.59067,0.87601,0.54362,0.9912,0.000549066,0.000549066,0.000549066
9,405.903,0.86247,0.68786,1.09686,0.90797,0.75371,0.83479,0.59335,0.8752,0.53516,0.98824,0.000525504,0.000525504,0.000525504
10,450.564,0.86542,0.69584,1.0987,0.90752,0.75719,0.83896,0.57836,0.91939,0.55393,1.02134,0.000501942,0.000501942,0.000501942
11,495.897,0.85934,0.68266,1.0922,0.89804,0.75912,0.837,0.5975,0.86164,0.54416,0.98423,0.00047838,0.00047838,0.00047838
12,539.791,0.85294,0.6857,1.09396,0.91568,0.75475,0.84088,0.59954,0.86879,0.53004,0.98932,0.000454818,0.000454818,0.000454818
13,585.182,0.85404,0.67837,1.09328,0.90618,0.76537,0.84062,0.60017,0.84674,0.52155,0.97689,0.000431256,0.000431256,0.000431256
14,629.465,0.83786,0.67089,1.08751,0.91298,0.76176,0.84072,0.60357,0.84797,0.51819,0.97356,0.000407694,0.000407694,0.000407694
15,673.563,0.83516,0.66607,1.08494,0.9164,0.75255,0.84137,0.60316,0.84061,0.52029,0.97145,0.000384132,0.000384132,0.000384132
16,719.994,0.82827,0.64936,1.07536,0.91463,0.7665,0.84477,0.61057,0.83255,0.50616,0.96778,0.00036057,0.00036057,0.00036057
17,764.94,0.8253,0.65107,1.0769,0.92079,0.76452,0.84522,0.61081,0.84001,0.50663,0.97382,0.000337008,0.000337008,0.000337008
18,811.724,0.82111,0.64581,1.07442,0.92337,0.76162,0.84289,0.60775,0.83113,0.50755,0.96438,0.000313446,0.000313446,0.000313446
19,856.539,0.81149,0.63838,1.07011,0.91031,0.77418,0.84343,0.61273,0.81958,0.49814,0.95815,0.000289884,0.000289884,0.000289884
20,902.313,0.8117,0.6397,1.0701,0.90924,0.76919,0.84521,0.616,0.81403,0.49844,0.95335,0.000266322,0.000266322,0.000266322
21,947.162,0.81134,0.56586,1.06663,0.91383,0.77077,0.84615,0.61154,0.82492,0.50607,0.96185,0.00024276,0.00024276,0.00024276
22,991.361,0.78993,0.54481,1.06125,0.92258,0.77037,0.84773,0.61867,0.81251,0.49051,0.95565,0.000219198,0.000219198,0.000219198
23,1035,0.77392,0.52487,1.04615,0.92114,0.77553,0.85106,0.62095,0.80395,0.48413,0.94836,0.000195636,0.000195636,0.000195636
24,1078.03,0.76463,0.52354,1.04341,0.92587,0.76863,0.85079,0.61941,0.81593,0.48263,0.95688,0.000172074,0.000172074,0.000172074
25,1121.84,0.76148,0.51206,1.03891,0.92984,0.77211,0.8524,0.62816,0.78292,0.46718,0.9343,0.000148512,0.000148512,0.000148512
26,1165.01,0.75343,0.50495,1.03305,0.9326,0.77599,0.85291,0.63182,0.77453,0.46519,0.93202,0.00012495,0.00012495,0.00012495
27,1207.76,0.74777,0.50338,1.03238,0.93223,0.77596,0.85275,0.63217,0.77631,0.46247,0.93143,0.000101388,0.000101388,0.000101388
28,1251.43,0.73916,0.49802,1.02406,0.92457,0.77771,0.85374,0.6334,0.77193,0.46206,0.92875,7.7826e-05,7.7826e-05,7.7826e-05
29,1294.84,0.73257,0.493,1.02336,0.93304,0.77856,0.85548,0.63681,0.76535,0.45716,0.92517,5.4264e-05,5.4264e-05,5.4264e-05
30,1338.02,0.72823,0.48695,1.02451,0.9255,0.78591,0.85694,0.63773,0.76333,0.45597,0.92392,3.0702e-05,3.0702e-05,3.0702e-05
