epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0057,0.81913,0.61462,1.06258,0.92901,0.77854,0.85804,0.63351,0.79001,0.45905,0.92676,0.000236183,0.000236183,0.000236183
2,94.1758,0.83684,0.64157,1.07722,0.90998,0.76975,0.84693,0.60445,0.87135,0.51928,0.97832,0.000458535,0.000458535,0.000458535
3,140.111,0.87094,0.67894,1.09655,0.90899,0.75079,0.83408,0.59354,0.87046,0.5412,0.98675,0.000665179,0.000665179,0.000665179
4,185.077,0.88825,0.69872,1.1065,0.90453,0.74741,0.82936,0.56655,0.93952,0.56795,1.0201,0.000643314,0.000643314,0.000643314
5,230.572,0.88215,0.70358,1.10624,0.90513,0.75282,0.83114,0.57571,0.92974,0.56779,1.01846,0.000619752,0.000619752,0.000619752
6,275.605,0.87794,0.69623,1.10286,0.9055,0.75041,0.83408,0.58764,0.89399,0.55572,1.00153,0.00059619,0.00059619,0.00059619
7,321.02,0.87955,0.7044,1.10875,0.89897,0.73378,0.819,0.57372,0.90538,0.57233,1.0046,0.000572628,0.000572628,0.000572628
8,366.396,0.86747,0.69897,1.10601,0.88955,0.73837,0.81874,0.57694,0.8952,0.57087,1.00577,0.000549066,0.000549066,0.000549066
9,411.278,0.85778,0.68852,1.09777,0.90603,0.743,0.8292,0.57877,0.92043,0.56328,1.01378,0.000525504,0.000525504,0.000525504
10,457.747,0.85771,0.68133,1.09408,0.9073,0.748,0.82995,0.58914,0.87745,0.55507,0.99091,0.000501942,0.000501942,0.000501942
11,504.175,0.85687,0.68429,1.09425,0.90776,0.74118,0.82805,0.58262,0.89856,0.55544,1.00201,0.00047838,0.00047838,0.00047838
12,550.145,0.84655,0.68024,1.09141,0.90179,0.75599,0.8337,0.59288,0.87114,0.54434,0.98957,0.000454818,0.000454818,0.000454818
13,594.54,0.83418,0.66944,1.08732,0.91091,0.75351,0.83197,0.59267,0.86106,0.53227,0.98377,0.000431256,0.000431256,0.000431256
14,640.401,0.83291,0.66195,1.0805,0.89978,0.76278,0.83603,0.59079,0.8764,0.53854,0.98707,0.000407694,0.000407694,0.000407694
15,686.846,0.83235,0.66414,1.08424,0.91454,0.75767,0.83237,0.59892,0.84723,0.51976,0.9728,0.000384132,0.000384132,0.000384132
16,734.566,0.8248,0.65385,1.07889,0.91155,0.75912,0.83551,0.60631,0.83967,0.52048,0.97024,0.00036057,0.00036057,0.00036057
17,780.311,0.81625,0.65248,1.07649,0.90717,0.75809,0.83278,0.60034,0.85207,0.52264,0.97501,0.000337008,0.000337008,0.000337008
18,826.603,0.8139,0.63671,1.07362,0.90644,0.76132,0.83685,0.60142,0.84694,0.52182,0.97018,0.000313446,0.000313446,0.000313446
19,872.6,0.81052,0.63575,1.06923,0.91482,0.76018,0.83876,0.6079,0.83723,0.5081,0.96683,0.000289884,0.000289884,0.000289884
20,919.094,0.79186,0.63206,1.06603,0.91324,0.76154,0.83937,0.6076,0.82728,0.5036,0.96259,0.000266322,0.000266322,0.000266322
21,964.49,0.80298,0.56214,1.06375,0.89903,0.76285,0.83397,0.6032,0.83661,0.51836,0.96785,0.00024276,0.00024276,0.00024276
22,1010.1,0.78298,0.5357,1.06254,0.9013,0.7645,0.83834,0.61159,0.82154,0.49911,0.95966,0.000219198,0.000219198,0.000219198
23,1051.28,0.77564,0.52728,1.04875,0.90739,0.76858,0.84165,0.61389,0.81874,0.49559,0.95381,0.000195636,0.000195636,0.000195636
24,1092.78,0.76431,0.51533,1.04243,0.92184,0.76087,0.84307,0.61583,0.80701,0.49211,0.94889,0.000172074,0.000172074,0.000172074
25,1134.04,0.76182,0.51609,1.04603,0.91226,0.76672,0.84413,0.61407,0.81944,0.49241,0.95256,0.000148512,0.000148512,0.000148512
26,1177.37,0.75018,0.50154,1.0352,0.91939,0.76468,0.84358,0.61877,0.80091,0.48468,0.94414,0.00012495,0.00012495,0.00012495
27,1220.02,0.73709,0.49912,1.02936,0.92112,0.76612,0.84563,0.62078,0.80388,0.48301,0.94528,0.000101388,0.000101388,0.000101388
28,1262,0.73128,0.49049,1.02091,0.92258,0.76451,0.84374,0.62217,0.79668,0.47931,0.94053,7.7826e-05,7.7826e-05,7.7826e-05
29,1304.98,0.72756,0.48509,1.02409,0.91772,0.77033,0.84626,0.62519,0.78541,0.47398,0.93582,5.4264e-05,5.4264e-05,5.4264e-05
30,1347.65,0.7232,0.48611,1.02481,0.92097,0.76838,0.84667,0.62692,0.78188,0.47203,0.93443,3.0702e-05,3.0702e-05,3.0702e-05
