epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.811,0.82252,0.62405,1.06289,0.92772,0.77991,0.8539,0.6343,0.7578,0.44679,0.89954,0.000236183,0.000236183,0.000236183
2,92.121,0.83541,0.63354,1.07797,0.92532,0.76336,0.84135,0.60643,0.81059,0.49053,0.93722,0.000458535,0.000458535,0.000458535
3,137.69,0.87083,0.68313,1.09362,0.90431,0.75753,0.83247,0.59315,0.8472,0.51919,0.96263,0.000665179,0.000665179,0.000665179
4,183.05,0.88212,0.69633,1.10499,0.91357,0.74954,0.82494,0.57694,0.89495,0.55174,0.99172,0.000643314,0.000643314,0.000643314
5,229.05,0.88344,0.70301,1.10926,0.87295,0.72405,0.80173,0.56428,0.89419,0.60621,0.99602,0.000619752,0.000619752,0.000619752
6,273.909,0.88868,0.70452,1.10927,0.90189,0.75207,0.82839,0.58483,0.88572,0.53964,0.98756,0.00059619,0.00059619,0.00059619
7,319.245,0.88563,0.70472,1.10803,0.89542,0.74623,0.82368,0.5845,0.87789,0.56133,0.9812,0.000572628,0.000572628,0.000572628
8,363.843,0.86998,0.69437,1.1036,0.89834,0.73933,0.81293,0.56729,0.9189,0.57942,1.00283,0.000549066,0.000549066,0.000549066
9,408.951,0.86656,0.69425,1.09889,0.8908,0.75159,0.81926,0.57502,0.91697,0.5504,1.00081,0.000525504,0.000525504,0.000525504
10,454.606,0.85961,0.68324,1.09326,0.90881,0.7481,0.82721,0.59161,0.8467,0.5219,0.96177,0.000501942,0.000501942,0.000501942
11,499.076,0.85308,0.67998,1.09251,0.90536,0.75675,0.8256,0.58874,0.8523,0.52935,0.96954,0.00047838,0.00047838,0.00047838
12,545.555,0.85685,0.67427,1.09016,0.90128,0.75773,0.82988,0.59377,0.84788,0.5213,0.96451,0.000454818,0.000454818,0.000454818
13,590.598,0.84913,0.67508,1.0902,0.90282,0.75944,0.8287,0.59185,0.85342,0.52262,0.96722,0.000431256,0.000431256,0.000431256
14,637.32,0.84847,0.66871,1.08893,0.90053,0.75609,0.8259,0.59732,0.83791,0.51847,0.95571,0.000407694,0.000407694,0.000407694
15,682.318,0.84281,0.66476,1.08681,0.91272,0.75921,0.83131,0.60011,0.83626,0.50857,0.95845,0.000384132,0.000384132,0.000384132
16,728.269,0.83385,0.65935,1.08203,0.90446,0.75635,0.83173,0.59536,0.8443,0.52502,0.95888,0.00036057,0.00036057,0.00036057
17,773.178,0.83292,0.65626,1.07895,0.89956,0.76296,0.83438,0.6039,0.82721,0.50478,0.95312,0.000337008,0.000337008,0.000337008
18,817.714,0.8183,0.6481,1.07738,0.90402,0.76734,0.83271,0.60248,0.82377,0.5058,0.95214,0.000313446,0.000313446,0.000313446
19,860.895,0.81366,0.64185,1.07187,0.91281,0.7648,0.83641,0.61196,0.80707,0.49324,0.94381,0.000289884,0.000289884,0.000289884
20,904.687,0.80014,0.63414,1.0642,0.91681,0.75815,0.83722,0.60949,0.81275,0.49513,0.94399,0.000266322,0.000266322,0.000266322
21,949.788,0.81033,0.56024,1.06811,0.91645,0.76043,0.83395,0.60419,0.82618,0.50067,0.9509,0.00024276,0.00024276,0.00024276
22,991.08,0.79222,0.54221,1.06541,0.9112,0.76917,0.83816,0.61533,0.80081,0.48353,0.93552,0.000219198,0.000219198,0.000219198
23,1032.87,0.77208,0.52339,1.04415,0.9128,0.76905,0.83782,0.6127,0.80811,0.4849,0.9403,0.000195636,0.000195636,0.000195636
24,1074.08,0.76511,0.51546,1.04179,0.91224,0.76923,0.84064,0.62113,0.7838,0.4736,0.92396,0.000172074,0.000172074,0.000172074
25,1116.29,0.75621,0.51019,1.03875,0.91818,0.76707,0.84061,0.62107,0.78573,0.47186,0.92791,0.000148512,0.000148512,0.000148512
26,1159.72,0.75119,0.50603,1.036,0.91329,0.77047,0.8421,0.62321,0.77942,0.47012,0.92315,0.00012495,0.00012495,0.00012495
27,1201.73,0.73998,0.50226,1.03245,0.92101,0.77198,0.84361,0.62611,0.77362,0.46379,0.921,0.000101388,0.000101388,0.000101388
28,1243.14,0.73576,0.49523,1.02951,0.91031,0.77664,0.84292,0.62631,0.77037,0.46038,0.91686,7.7826e-05,7.7826e-05,7.7826e-05
29,1285.06,0.72191,0.48674,1.02305,0.91584,0.7725,0.84354,0.6279,0.76903,0.45839,0.91632,5.4264e-05,5.4264e-05,5.4264e-05
30,1328.53,0.72011,0.48814,1.02157,0.91199,0.77631,0.84486,0.62882,0.76773,0.45667,0.91749,3.0702e-05,3.0702e-05,3.0702e-05
